"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
11-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","12","181842","180820[8]","99.44","924","98","5141","19590","4017893"
"2","Faridabad","3","99996","99237[2]","99.24","717","42","2383","8945","2854221"
"3","Hisar","0","54002","52862","97.89","1136","4","1232","5899","1516809"
"4","Sonepat","0","47145","46891","99.46","254","0","1062","5362","1608036"
"5","Karnal","4","40052","39489","98.59","553","10","951","4919","1653068"
"6","Panipat","0","31155","30516","97.95","638","1","1972","7335","1344558"
"7","Panchkula","3","30865","30457","98.68","379","29","443","2027","822894"
"8","Ambala","0","30155","29643","98.30","509","3","677","4618","1646130"
"9","Sirsa","0","29296","28775","98.22","508","13","2116","5406","1280393"
"10","Rohtak","1","25922","25365","97.85","534","6","1101","3733","1145920"
"11","Yamunanagar","0","24657","24233","98.28","414","10","562","4313","1308341"
"12","Bhiwani","0","22411","21758","97.09","652","1","602","7044","1295764"
"13","Kurukshetra","0","22159","21799[3]","98.38","357","3","694","3400","984007"
"14","Mahindergarh","0","21689","21534","99.29","155","0","454","3153","973819"
"15","Jind","0","21210","20677","97.49","533","0","1358","6345","1132496"
"16","Rewari","0","20329","20108","98.91","221","0","751","5895","1117398"
"17","Jhajjar","0","18850","18516","98.23","328","0","718","3126","1134865"
"18","Fatehabad","0","17880","17398","97.30","482","0","500","3293","868138"
"19","Kaithal","0","11250","10900","96.89","346","4","616","4180","1021933"
"20","Palwal","0","11031","10875","98.59","153","3","1659","3729","1029952"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","155","969","688435"
"22","Nuh","0","5014","4891","97.55","123","0","2106","926","760882"
"Total","","23","771989","761684[13]","98.67","10055","227","27253","114207","30205952"
