"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","1265","1111570","1","19610"
"2","Thane","78","119506","0","2289"
"3","TMC","202","196966","0","2167"
"4","Navi Mumbai","215","174136","0","2090"
"5","KDMC","90","178188","0","2974"
"6","Ulhasnagar MC","12","26800","0","680"
"7","Bhivandi Nijampur MC","1","13244","0","496"
"8","Mira Bhayandar MC","59","78443","0","1227"
"9","Palghar","14","65060","0","1244"
"10","Vasai Virar MC","65","101004","0","2166"
"11","Raigad","166","140807","0","3466"
"12","Panvel MC","85","108891","0","1482"
"","Mumbai circle total","2252","2314615","1","39891"
"13","Nashik","15","183959","0","3814"
"14","Nashik MC","42","278681","0","4752"
