"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227307","221313","5880","114"
"12","Nashik","473665","464483","8911","271"
"13","Ahmednagar","378000","370639","7243","118"
"14","Jalgaon","149706","146849","2762","95"
"15","Nandurbar","46634","45664","962","8"
"16","Dhule","50833","50133","670","30"
"17","Aurangabad","176857","172426","4284","147"
"18","Jalna","66389","65130","1224","35"
"19","Beed","109249","106353","2885","11"
"20","Latur","105124","102533","2489","102"
"21","Parbhani","58607","57317","1279","11"
"22","Hingoli","22208","21686","514","8"
"23","Nanded","102759","100010","2704","45"
"24","Osmanabad","75288","73079","2139","70"
"25","Amravati","106059","104402","1624","33"
"26","Akola","66328","64806","1470","52"
"27","Washim","45902","45090","641","171"
"28","Buldhana","92134","91205","836","93"
"29","Yavatmal","82069","80201","1820","48"
"30","Nagpur","577678","568018","9215","445"
"31","Wardha","65761","64324","1408","29"
"32","Bhandara","68077","66884","1142","51"
"33","Gondia","45469","44860","587","22"
"34","Chandrapur","98997","97351","1592","54"
