"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3053","113529","3007","110496","37","3016","17"
"2","SAS Nagar","5320","101009","5231","99764","20","1168","77"
"3","Jalandhar","2790","81055","2715","79053","40","1980","22"
"4","Patiala","2110","64190","2068","62451","11","1722","17"
"5","Amritsar","1379","60934","1365","59073","6","1846","15"
"6","Bathinda","1553","52420","1537","50980","4","1427","13"
"7","Hoshiarpur","1286","42395","1236","40968","19","1419","8"
"8","Gurdaspur","345","27272","325","26398","7","871","3"
"9","Pathankot","513","25015","475","24490","4","521","4"
"10","Fazilka","494","23926","487","23290","0","621","15"
"11","Muktsar","276","22828","270","22280","3","542","6"
"12","Kapurthala","543","22572","528","21969","7","599","4"
"13","Ropar","1131","19069","1109","18592","4","459","18"
"14","Ferozepur","468","18361","458","17818","3","540","3"
"15","Mansa","190","17415","186","17022","1","392","1"
"16","Faridkot","378","17214","379","16800","3","414","0"
"17","Sangrur","275","14709","267","13840","9","869","0"
"18","SBS Nagar","461","13863","461","13449","0","409","5"
"19","FG Sahib","707","12622","701","12181","1","437","4"
"20","Moga","244","11243","238","10969","6","272","2"
"21","Tarn Taran","150","11050","140","10645","1","399","6"
"22","Barnala","211","7711","205","7343","7","364","4"
"23","Malerkotla","60","4063","58","3849","3","214","0"
"","Total","23937","784465","23446","763720","196","20501","244"
