"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16915","16627","25","263"
"2","Chengalpattu","173361","170173","659","2529"
"3","Chennai","557320","547448","1274","8598"
"4","Coimbatore","249397","245690","1258","2449"
"5","Cuddalore","64356","63382","102","872"
"6","Dharmapuri","28740","28324","138","278"
"7","Dindigul","33200","32496","54","650"
"8","Erode","105847","104323","830","694"
"9","Kallakurichi","31540","31254","76","210"
"10","Kancheepuram","75457","73997","197","1263"
"11","Kanyakumari","62718","61518","145","1055"
"12","Karur","24497","23963","173","361"
"13","Krishnagiri","43787","43359","75","353"
"14","Madurai","75465","74159","124","1182"
"15","Mayiladuthurai","23352","23014","22","316"
"16","Nagapattinam","21282","20830","97","355"
"17","Namakkal","53171","52258","408","505"
"18","Nilgiris","33977","33556","208","213"
"19","Perambalur","12099","11843","12","244"
"20","Pudukottai","30311","29838","56","417"
"21","Ramanathapuram","20617","20232","26","359"
"22","Ranipet","43526","42723","28","775"
"23","Salem","100998","98856","444","1698"
"24","Sivagangai","20360","20085","66","209"
"25","Tenkasi","27385","26891","9","485"
"26","Thanjavur","75982","74725","269","988"
"27","Theni","43599","43068","10","521"
"28","Thirupathur","29370","28727","17","626"
"29","Thiruvallur","120020","117903","271","1846"
"30","Thiruvannamalai","55152","54423","60","669"
"31","Thiruvarur","41815","41215","143","457"
"32","Thoothukudi","56468","56003","55","410"
"33","Tirunelveli","49608","49069","106","433"
"34","Tiruppur","96742","95192","555","995"
"35","Trichy","78308","76868","362","1078"
"36","Vellore","50110","48858","114","1138"
"37","Villupuram","45984","45596","31","357"
"38","Virudhunagar","46382","45800","34","548"
"39","Airport Surveillance 
(International)","1031","1027","3","1"
"40","Airport Surveillance 
(Domestic)","1085","1084","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,21,762","26,76,825","8,536","36,401"
