"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,708"
"2","Number of persons tested positive today in Tamil Nadu","603"
"","Passengers returned from other countries  by 
International airport tested positive today","Africa-1 
Europe-1 
UK-1"
"","Total","606"
"3","Total Number of persons tested positive till date","27,43,427"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,185/ 
5,68,26,433@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,957/ 
5,58,88,098"
"6","No. of Male / Female / Transgender tested positive today","357/249/0"
"7","No. of Male / Female / Transgender tested positive till date","16,01,301/11,42,088/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","318 (69 Govt+ 
249 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","685/ 
26,99,994"
"10","Total number of deaths today/ till date","11(4 Private &  
7 Govt) /36,725)"
