"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,629"
"2","Number of persons tested positive today in Tamil Nadu","602"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE – 6 
Kenya – 1 
Ghana -1"
"","Total","610"
"3","Total Number of persons tested positive till date","27,44,037"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,00,284/ 
5,69,26,717@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,058/ 
5,59,88,156"
"6","No. of Male / Female / Transgender tested positive today","354/256/0"
"7","No. of Male / Female / Transgender tested positive till date","16,01,655/11,42,344/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","318 (69 Govt+ 
249 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","679/ 
27,00,673"
"10","Total number of deaths today/ till date","10(5 Private &  
5 Govt) /36,735)"
