"Sl. No","District","Positive","Tested","Positivity"
"1","Ariyalur","1","343","0.3"
"2","Chengalpattu","50","4177","1.2"
"3","Chennai","165","19093","0.9"
"4","Coimbatore","87","8348","1.0"
"5","Cuddalore","14","2690","0.5"
"6","Dharmapuri","5","2214","0.2"
"7","Dindigul","5","2612","0.2"
"8","Erode","41","5829","0.7"
"9","Kallakurichi","1","2752","0.0"
"10","Kancheepuram","16","2558","0.6"
"11","Kanyakumari","9","2128","0.4"
"12","Karur","10","2256","0.4"
"13","Krishnagiri","5","815","0.6"
"14","Madurai","8","4019","0.2"
"15","Mayiladuthurai","0","784","0.0"
"16","Nagapattinam","0","1819","0.0"
"17","Namakkal","23","2996","0.8"
"18","Nilgiris","5","1080","0.5"
"19","Perambalur","2","857","0.2"
"20","Pudukottai","2","1803","0.1"
"21","Ramanathapuram","2","542","0.4"
"22","Ranipet","0","578","0.0"
"23","Salem","27","3270","0.8"
"24","Sivagangai","2","1057","0.2"
"25","Tenkasi","3","594","0.5"
"26","Thanjavur","10","2210","0.5"
"27","Theni","1","461","0.2"
"28","Thirupathur","3","1241","0.2"
"29","Thiruvallur","17","2589","0.7"
"30","Thiruvannamalai","3","3100","0.1"
"31","Thiruvarur","3","2843","0.1"
"32","Thoothukudi","7","1455","0.5"
"33","Tirunelveli","4","976","0.4"
"34","Tiruppur","42","3754","1.1"
"35","Trichy","11","2654","0.4"
"36","Vellore","13","1268","1.0"
"37","Villupuram","2","1341","0.1"
"38","Virudhunagar","4","2079","0.2"
"Grand Total","","603#","1,01,185*","0.6"
