"District","Positive 
Cases 
declared 
today","Declared 
Negative 
today","Positive 
cases 
admitted in 
the district","Other Districts"
"Thiruvananthapuram","786","866","7181","Kollam - 79, Pathanamthitta - 19, Alappuzha - 11, 
Kottayam - 9, Idukki - 11, Ernakulam - 7, Thrissur - 4, 
Palakkad - 3, Malappuram - 1, Kozhikode - 2, Kannur - 
3, Kasaragod - 1, Others - 51"
"Kollam","380","354","3239","Pathanamthitta - 14, Idukki - 1, Ernakulam - 1"
"Pathanamthitta","164","67","1526","Alappuzha - 1, Kottayam - 6, Idukki - 1, Ernakulam - 2, 
Thrissur - 1"
"Alappuzha","152","184","1484","Pathanamthitta - 43, Kottayam - 34, Ernakulam - 3, 
Palakkad - 5, Kannur - 1"
"Kottayam","357","500","4445","Pathanamthitta - 49, Idukki - 43, Ernakulam - 30, 
Thrissur - 1, Kannur - 2"
"Idukki","172","294","2583","Kottayam - 15, Ernakulam - 33"
"Ernakulam","797","662","7265","Pathanamthitta - 7, Kottayam - 5, Idukki - 13, Thrissur - 
1, Palakkad - 5, Wayanad - 1, Kannur - 4, Kasaragod - 2, 
Others - 305"
"Thrissur","509","512","4671","Kollam - 1, Pathanamthitta - 1, Alappuzha - 1, Kottayam 
- 1, Idukki - 1, Ernakulam - 6, Palakkad - 26, 
Malappuram - 1, Kannur - 1, Others - 1"
"Palakkad","198","178","1127",""
"Malappuram","207","208","2421",""
"Kozhikode","506","781","6442","Thiruvananthapuram - 2, Pathanamthitta - 1, Kottayam 
- 5, Ernakulam - 13, Malappuram - 4, Wayanad - 23, 
Kannur - 61, Kasaragod - 14, Others - 1"
"Wayanad","131","105","2355","Kannur - 3"
"Kannur","287","348","2815",""
"Kasaragod","95","85","947","Kannur - 1"
"Total","4741","5144","48501",""
