District,Recovered,Deceased,Active
Lucknow,236291,2651,152
Gautam Buddha Nagar,63021,468,190
Mathura,19917,402,31
Ghaziabad,55261,461,118
Bareilly,43671,377,5
Varanasi,84541,971,25
Ghazipur,21369,283,1
Mainpuri,9851,182,0
Kanpur Nagar,81040,1905,16
Saharanpur,32332,420,15
Agra,25319,457,24
Gorakhpur,58598,848,5
Kanpur Dehat,6088,110,5
Kannauj,9114,115,2
Rae Bareli,16768,343,4
Sambhal,9332,106,3
Siddharthnagar,9275,100,0
Sonbhadra,16560,251,8
Aligarh,21177,109,10
Ambedkar Nagar,4888,152,0
Amethi,9830,143,2
Budaun,14844,98,2
Ballia,21376,234,1
Banda,10832,161,0
Barabanki,19626,225,8
Deoria,20008,221,5
Farrukhabad,10155,194,3
Gonda,12012,271,5
Jaunpur,22350,235,0
Jhansi,35904,663,8
Maharajganj,12303,140,22
Meerut,68592,898,61
Muzaffarnagar,30753,269,7
Prayagraj,77646,1088,24
Sant Kabir Nagar,8064,98,0
Shamli,12932,45,5
Sitapur,12214,185,0
Amroha,16416,203,7
Auraiya,9889,203,4
Ayodhya,16629,290,2
Azamgarh,17678,228,2
Baghpat,8994,141,3
Balrampur,7356,138,1
Basti,11388,330,1
Bahraich,11372,178,1
Bhadohi,7558,163,0
Bijnor,14669,126,2
Bulandshahr,19976,244,3
Chandauli,15852,357,2
Chitrakoot,7031,79,0
Etah,9869,99,7
Etawah,13640,293,0
Fatehpur,6679,139,1
Firozabad,8586,135,1
Hamirpur,5137,102,1
Hapur,12423,217,3
Hardoi,13408,349,1
Hathras,2877,43,1
Jalaun,11489,202,0
Kasganj,4197,53,1
Kaushambi,4356,70,1
Kushinagar,15389,228,1
Lakhimpur Kheri,24125,292,2
Lalitpur,12621,128,1
Mahoba,4182,86,0
Mau,8253,80,0
Mirzapur,10973,116,1
Moradabad,38753,349,24
Pilibhit,10839,193,0
Pratapgarh,15875,163,1
Rampur,11678,148,5
Shahjahanpur,19919,444,9
Shrawasti,4353,35,1
Sultanpur,14780,138,0
Unnao,14765,254,5
