"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","688","286","231812","0","12229","244041","1008"
"Bageshwar","545","26","205131","0","5766","210897","742"
"Chamoli","177","623","285108","0","12249","297357","427"
"Champawat","866","1149","239643","0","7613","247256","1184"
"Dehradun","2637","2068","1882162","5","112586","1994748","1375"
"Haridwar","4079","4751","2108048","0","51561","2159609","2084"
"Nainital","1281","1341","544443","1","39320","583763","562"
"Pauri Garhwal","935","990","388679","1","17727","406406","742"
"Pithoragarh","921","680","215542","0","10267","225809","1382"
"Rudraprayag","418","336","192055","1","8803","200858","914"
"Tehri Garhwal","439","419","297432","0","15840","313272","833"
"US Nagar","2274","2073","906199","0","37889","944088","873"
"Uttarkashi","330","447","335297","1","12561","347858","805"
"Total","15590","15189","7831551","9","344411","8175962","12931"
