"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2919","113395","2831","110320","37","3016","59"
"2","SAS Nagar","5107","100796","4968","99501","19","1167","128"
"3","Jalandhar","2701","80966","2581","78919","31","1971","76"
"4","Patiala","2041","64121","1971","62354","11","1722","45"
"5","Amritsar","1317","60872","1255","58963","6","1846","63"
"6","Bathinda","1415","52282","1338","50781","3","1426","75"
"7","Hoshiarpur","1229","42338","1141","40873","16","1416","49"
"8","Gurdaspur","331","27258","300","26373","4","868","17"
"9","Pathankot","487","24989","435","24450","4","521","18"
"10","Fazilka","434","23866","418","23221","0","621","24"
"11","Muktsar","255","22807","236","22246","3","542","19"
"12","Kapurthala","525","22554","491","21932","7","599","23"
"13","Ropar","1060","18998","990","18473","4","459","66"
"14","Ferozepur","444","18337","414","17774","3","540","23"
"15","Mansa","184","17409","178","17014","1","393","2"
"16","Faridkot","371","17207","365","16786","3","414","7"
"17","Sangrur","271","14705","261","13834","9","869","2"
"18","SBS Nagar","429","13831","413","13401","0","409","21"
"19","FG Sahib","672","12587","656","12136","1","437","14"
"20","Moga","226","11225","217","10948","4","270","7"
"21","Tarn Taran","139","11039","116","10621","1","399","19"
"22","Barnala","202","7702","188","7326","5","362","14"
"23","Malerkotla","60","4063","57","3848","3","214","1"
"","Total","22819","783347","21820","762094","175","20481","772"
