,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-11-16,DL,Central Delhi,,,,,,,,2021-11-17 06:24:47.535981,,,,1440484,25095,1415032,30174540
1,1,2021-11-16,DL,East Delhi,,,,,,,,2021-11-17 06:24:47.535981,,,,1440484,25095,1415032,30174540
2,2,2021-11-16,DL,New Delhi,,,,,,,,2021-11-17 06:24:47.535981,,,,1440484,25095,1415032,30174540
3,3,2021-11-16,DL,North Delhi,,,,,,,,2021-11-17 06:24:47.535981,,,,1440484,25095,1415032,30174540
4,4,2021-11-16,DL,North East Delhi,,,,,,,,2021-11-17 06:24:47.535981,,,,1440484,25095,1415032,30174540
5,5,2021-11-16,DL,North West Delhi,,,,,,,,2021-11-17 06:24:47.535981,,,,1440484,25095,1415032,30174540
6,6,2021-11-16,DL,Shahdara,,,,,,,,2021-11-17 06:24:47.535981,,,,1440484,25095,1415032,30174540
7,7,2021-11-16,DL,South Delhi,,,,,,,,2021-11-17 06:24:47.535981,,,,1440484,25095,1415032,30174540
8,8,2021-11-16,DL,South East Delhi,,,,,,,,2021-11-17 06:24:47.535981,,,,1440484,25095,1415032,30174540
9,9,2021-11-16,DL,South West Delhi,,,,,,,,2021-11-17 06:24:47.535981,,,,1440484,25095,1415032,30174540
10,10,2021-11-16,DL,West Delhi,,,,,,,,2021-11-17 06:24:47.535981,,,,1440484,25095,1415032,30174540
11,11,2021-11-16,DL,Unknown,,,,1440484.0,25095.0,1415032.0,,2021-11-17 06:24:47.535981,,,,1440484,25095,1415032,30174540
