"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
20-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","16","181973","180948[16]","99.44","926","99","4717","20484","4125996"
"2","Faridabad","5","100030","99279[4]","99.25","717","34","2429","9369","2947673"
"3","Hisar","0","54002","52865","97.89","1137","0","2393","10841","1591590"
"4","Sonepat","1","47146","46891","99.46","254","1","1401","5358","1659702"
"5","Karnal","5","40064","39497[3]","98.58","554","13","1499","9292","1716475"
"6","Panipat","0","31158","30517","97.94","638","3","2333","9034","1414290"
"7","Panchkula","2","30905","30490[4]","98.66","381","34","408","2626","841831"
"8","Ambala","0","30156","29645","98.31","509","2","1083","9825","1719258"
"9","Sirsa","1","29302","28788","98.25","508","6","2012","7152","1334596"
"10","Rohtak","0","25923","25369[1]","97.86","534","3","1123","3916","1189208"
"11","Yamunanagar","1","24662","24241[2]","98.29","414","7","830","7830","1357423"
"12","Bhiwani","0","22411","21758","97.09","652","1","620","7039","1346505"
"13","Kurukshetra","0","22162","21803","98.38","357","2","913","4553","1033408"
"14","Mahindergarh","0","21689","21534","99.29","155","0","502","3077","998947"
"15","Jind","0","21210","20677","97.49","533","0","3783","7430","1199275"
"16","Rewari","0","20330","20108","98.91","221","1","761","4901","1172516"
"17","Jhajjar","0","18850","18516","98.23","328","0","839","4008","1171649"
"18","Fatehabad","0","17880","17398","97.30","482","0","474","3179","894661"
"19","Kaithal","0","11251","10903[2]","96.91","346","2","6664","17510","1103922"
"20","Palwal","0","11031","10877","98.60","153","1","1484","4575","1074653"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","185","673","695674"
"22","Nuh","0","5014","4891","97.55","123","0","1299","2919","790383"
"Haryana","","31","772228","761935[32]","98.67","10061","209","37752","155591","31379635"
