"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","2","0","2079","19","4","0"
"East Jaintia Hills","2","1","0","2671","39","10","0"
"East Khasi Hills","6","9","0","47782","1077","46","13"
"Eastern West Khasi Hills","1","0","0","157","9","1","0"
"North Garo Hills","0","0","0","1918","10","3","0"
"Ri-Bhoi","3","1","0","10547","101","23","3"
"South Garo Hills","0","4","0","1431","14","6","1"
"South West Garo Hills","0","3","0","2243","21","15","0"
"South West Khasi Hills","0","3","0","2716","20","7","3"
"West Garo Hills","3","76","0","11754","84","238","6"
"West Jaintia Hills","3","3","0","7314","141","26","3"
"West Khasi Hills","0","0","0","5670","78","0","0"
"Total","18","102","0","96282","1613","379","29"
