TT|2022-08-21 07:55:12.498571|GetSource|ERR|File Not Found
TT|2022-08-21 09:55:10.617279|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-08-21 09:55:23.763838|ExtractFromHTML|OK|COMPLETED
TT|2022-08-21 11:55:10.368678|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-08-21 11:55:23.311764|ExtractFromHTML|OK|COMPLETED
TT|2022-08-21 19:55:10.190349|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-08-21 19:55:24.410031|ExtractFromHTML|OK|COMPLETED
TT|2022-08-21 20:55:11.114449|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-08-21 20:55:30.307327|ExtractFromHTML|OK|COMPLETED
TT|2022-08-21 21:55:10.080541|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-08-21 21:55:25.210417|ExtractFromHTML|OK|COMPLETED
TT|2022-08-21 22:55:10.802210|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-08-21 22:55:27.526401|ExtractFromHTML|OK|COMPLETED
TT|2022-08-21 23:55:10.909486|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-08-21 23:55:25.418841|ExtractFromHTML|OK|COMPLETED
TT|2022-08-22 07:55:11.310489|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
