"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","1","40675","0","40305","3","0","367","0"
"2","Ballari","2","115495","1","113697","35","0","1761","2"
"3","Belagavi","3","100105","5","99050","53","0","1000","2"
"4","Bengaluru Rural","0","79270","6","78349","15","0","906","0"
"5","Bengaluru Urban","158","1780015","166","1760802","2272","3","16940","1"
"6","Bidar","0","29804","3","29379","1","0","420","4"
"7","Chamarajanagara","0","43613","0","43067","11","0","524","11"
"8","Chikkaballapura","5","55610","1","55142","8","0","459","1"
"9","Chikkamagaluru","0","57231","6","56810","15","0","406","0"
"10","Chitradurga","9","46227","2","45930","58","0","239","0"
"11","Dakshina 
Kannada","3","135440","2","133566","26","1","1838","10"
"12","Davanagere","1","57532","1","56903","6","0","623","0"
"13","Dharwada","0","84051","6","82649","17","1","1382","3"
"14","Gadag","0","30583","0","30242","6","0","335","0"
"15","Hassana","0","143851","0","142533","11","0","1305","2"
"16","Haveri","0","26835","4","26162","5","0","668","0"
"17","Kalaburagi","2","76582","3","75670","33","0","879","0"
"18","Kodagu","0","49256","17","48879","24","0","352","1"
"19","Kolara","3","62975","6","62299","12","0","664","0"
"20","Koppala","0","41280","1","40738","4","0","538","0"
"21","Mandya","4","101475","1","100753","12","1","710","0"
"22","Mysuru","9","229381","35","226769","55","0","2557","0"
"23","Raichuru","0","45446","0","45073","10","1","363","0"
"24","Ramanagara","7","29779","0","29415","17","0","347","0"
"25","Shivamogga","5","83292","11","82104","59","0","1128","1"
"26","Tumakuru","1","159798","12","158542","40","0","1216","0"
"27","Udupi","0","95588","4","95033","9","0","546","0"
"28","Uttara Kannada","2","71148","8","70328","12","0","808","0"
"29","Vijayapura","1","40993","0","40470","6","0","517","0"
"30","Yadagiri","1","29959","0","29736","11","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","217","3943325","301","3900428","2846","7","40013","38"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 10-03-2022 
Page 5 of 8","","","","","","","","",""
