"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","112","176","1073"
"Kollam","62","104","69"
"Pathanamthitta","43","108","305"
"Alappuzha","35","101","93"
"Kottayam","141","146","1107"
"Idukki","60","124","692"
"Ernakulam","190","212","1511"
"Thrissur","66","71","737"
"Palakkad","35","24","49"
"Malappuram","44","26","286"
"Kozhikode","73","73","633"
"Wayanad","29","59","278"
"Kannur","25","82","140"
"Kasaragod","7","23","25"
"Total","922","1329","6998"
