"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2101","112577","1838","109327","25","3004","246"
"2","SAS Nagar","3554","99243","2879","97412","13","1161","670"
"3","Jalandhar","1670","79935","1224","77562","8","1948","425"
"4","Patiala","1363","63443","1136","61519","4","1715","209"
"5","Amritsar","739","60294","569","58277","3","1843","174"
"6","Bathinda","929","51796","692","50135","1","1424","237"
"7","Hoshiarpur","608","41750","399","40131","7","1407","212"
"8","Gurdaspur","216","27143","163","26236","2","866","41"
"9","Pathankot","366","24868","289","24304","0","517","47"
"10","Fazilka","265","23697","222","23025","0","621","51"
"11","Muktsar","123","22675","95","22105","0","539","31"
"12","Kapurthala","302","22331","207","21649","1","593","89"
"13","Ropar","565","18503","370","17853","2","457","193"
"14","Ferozepur","269","18162","186","17546","2","539","77"
"15","Mansa","140","17365","128","16964","1","393","8"
"16","Faridkot","260","17095","217","16638","3","413","44"
"17","Sangrur","210","14644","188","13761","2","862","21"
"18","SBS Nagar","235","13637","177","13165","0","409","63"
"19","FG Sahib","428","12343","367","11847","1","437","59"
"20","Moga","105","11104","75","10806","3","269","29"
"21","Tarn Taran","71","10971","45","10550","1","399","22"
"22","Barnala","116","7616","98","7236","1","358","22"
"23","Malerkotla","41","4045","35","3826","2","214","5"
"","Total","14676","775237","11599","751874","82","20388","2975"
