"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
06-01-2022","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","1447","187351","182205[645]","97.25","926","4220","27956","13510","4421217"
"2","Faridabad","297","101193","99381[22]","98.21","717","1095","19235","11028","3270817"
"3","Hisar","36","54112","52868","97.70","1137","107","13429","8538","2011858"
"4","Sonepat","130","47518","46954[42]","98.81","254","310","14189","8951","1932399"
"5","Karnal","107","40373","39538[12]","97.93","554","281","19997","6809","2020709"
"6","Panipat","6","31251","30527[1]","97.68","638","86","14547","4680","1684698"
"7","Panchkula","162","31520","30638[34]","97.20","382","500","5212","4068","936021"
"8","Ambala","169","30703","29691[17]","96.70","509","503","6989","3342","1856364"
"9","Sirsa","17","29342","28797","98.14","509","36","11728","4135","1697553"
"10","Rohtak","63","26080","25376","97.30","534","153","12753","4845","1367574"
"11","Yamunanagar","44","24801","24263[3]","97.83","414","124","7737","7990","1530436"
"12","Bhiwani","17","22440","21761","96.97","652","27","11671","2921","1524970"
"13","Kurukshetra","41","22296","21833[16]","97.92","358","105","11263","3729","1208475"
"14","Mahindergarh","8","21715","21537[3]","99.18","156","22","12557","2685","1158782"
"15","Jind","24","21259","20678","97.27","533","48","10531","4461","1424271"
"16","Rewari","23","20396","20109","98.59","221","66","16004","3806","1343806"
"17","Jhajjar","46","18971","18522","97.63","328","115","11966","4543","1332007"
"18","Fatehabad","9","17910","17400[2]","97.15","482","28","8970","2574","1062972"
"19","Kaithal","15","11289","10905[1]","96.60","348[1]","36","11479","2453","1429129"
"20","Palwal","11","11056","10877","98.38","153","26","9577","6331","1229327"
"21","Charkhi Dadri","2","5088","4943[3]","97.15","139","6","4331","1336","746986"
"22","Nuh","4","5032","4891","97.20","123","18","6926","5794","915595"
"Haryana","","2678","781696","763694[801]","97.70","10067[1]","7912","269047","118529","36105966"
