MH|2021-11-12 04:34:46.994754|GetSource|ERR|File Not Found
MH|2021-11-13 04:41:16.803479|GetSource|OK|File Downloaded fromhttps://www.covid19maharashtragov.in/mh-covid
MH|2021-11-13 06:35:41.238419|GetSource|OK|File Downloaded fromhttps://www.covid19maharashtragov.in/mh-covid
MH|2021-11-13 06:36:29.299859|ExtractFromHTML|OK|COMPLETED
MH|2021-11-13 06:42:33.524722|GetSource|OK|File Downloaded fromhttps://www.covid19maharashtragov.in/mh-covid
MH|2021-11-13 06:43:21.399684|ExtractFromHTML|OK|COMPLETED
MH|2021-11-13 14:49:02.561892|GetSource|OK|File Downloaded fromhttps://www.covid19maharashtragov.in/mh-covid
MH|2021-11-13 15:01:06.572206|GetSource|OK|File Downloaded fromhttps://www.covid19maharashtragov.in/mh-covid
MH|2021-11-13 17:24:03.657204|GetSource|OK|File Downloaded fromhttps://www.covid19maharashtragov.in/mh-covid
MH|2021-11-13 17:25:31.931357|GetSource|OK|File Downloaded fromhttps://www.covid19maharashtragov.in/mh-covid
MH|2021-11-13 17:26:26.642282|GetSource|OK|File Downloaded fromhttps://www.covid19maharashtragov.in/mh-covid
MH|2021-11-13 17:45:15.343595|GetSource|OK|File Downloaded fromhttps://www.covid19maharashtragov.in/mh-covid
MH|2021-11-14 05:10:13.228897|GetSource|OK|File Downloaded fromhttps://www.covid19maharashtragov.in/mh-covid
MH|2021-11-14 05:26:55.520350|GetSource|OK|File Downloaded fromhttps://www.covid19maharashtragov.in/mh-covid
MH|2021-11-14 05:30:40.028929|GetSource|OK|File Downloaded fromhttps://www.covid19maharashtragov.in/mh-covid
MH|2022-01-22 00:35:05.255449|ExtractFromHTML|OK|COMPLETED
