"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
20-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","11","181624","180622[8]","99.45","924","78","1706","7314","3755103"
"2","Faridabad","0","99918","99196[1]","99.28","716","6","2254","5930","2634656"
"3","Hisar","0","53996","52860","97.90","1136","0","736","3222","1385066"
"4","Sonepat","0","47139","46885","99.46","254","0","971","3853","1479619"
"5","Karnal","0","40040","39487","98.62","552","1","976","3502","1530725"
"6","Panipat","0","31153","30513","97.95","638","2","1651","3677","1190136"
"7","Panchkula","0","30793","30403","98.73","379","11","218","2175","777194"
"8","Ambala","0","30150","29641","98.31","509","0","609","3080","1524591"
"9","Sirsa","0","29283","28774","98.26","508","1","1656","4529","1142082"
"10","Rohtak","0","25915","25362[2]","97.87","534","2","1082","2477","1045909"
"11","Yamunanagar","0","24637","24221","98.31","414","2","368","1914","1215035"
"12","Bhiwani","0","22409","21757","97.09","652","0","593","5041","1150719"
"13","Kurukshetra","0","22151","21793[1]","98.38","357","1","557","2649","900518"
"14","Mahindergarh","0","21689","21534","99.29","155","0","758","3019","898372"
"15","Jind","0","21210","20676","97.48","533","1","912","2351","1021231"
"16","Rewari","0","20329","20108","98.91","221","0","1068","3919","998314"
"17","Jhajjar","0","18850","18515","98.22","328","1","302","2591","1050816"
"18","Fatehabad","0","17878","17394","97.29","482[1]","2","362","1705","807659"
"19","Kaithal","0","11246","10899[1]","96.91","346","1","1309","5013","901592"
"20","Palwal","0","11026","10873","98.61","153","0","1100","2419","893566"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","139","1121","651053"
"22","Nuh","0","5014","4891","97.55","123","0","15062","2287","546451"
"Total","","11","771528","761343[13]","98.68","10053[1]","109","34389","73788","27500407"
