"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1193","110969","937","108426","18","2297","246"
"2","SAS Nagar","1863","97552","1499","96032","11","1159","361"
"3","Jalandhar","602","78867","443","77143","3","1581","143"
"4","Patiala","704","62719","569","61141","1","1458","120"
"5","Amritsar","343","59740","270","57978","2","1684","78"
"6","Bathinda","418","51285","298","50076","0","1088","121"
"7","Hoshiarpur","180","41018","158","39890","2","1098","30"
"8","Gurdaspur","97","27026","73","26146","1","865","15"
"9","Pathankot","194","24710","147","24180","0","495","35"
"10","Fazilka","143","23537","127","22966","0","545","26"
"11","Muktsar","57","22609","47","22057","0","539","13"
"12","Kapurthala","142","22172","104","21556","1","583","33"
"13","Ropar","216","18154","148","17631","1","456","67"
"14","Ferozepur","127","18026","105","17465","2","539","22"
"15","Mansa","94","17319","69","16905","1","393","21"
"16","Faridkot","164","16947","148","16589","1","339","19"
"17","Sangrur","76","14385","53","13626","0","735","24"
"18","SBS Nagar","102","13504","76","13064","0","409","31"
"19","FG Sahib","201","12034","157","11637","1","355","42"
"20","Moga","39","11026","34","10765","2","256","5"
"21","Tarn Taran","37","10933","23","10528","0","394","11"
"22","Barnala","66","7563","49","7192","0","349","22"
"23","Malerkotla","23","3991","20","3811","0","176","4"
"","Total","7081","766086","5554","746804","47","17793","1489"
