"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","238","1121990","2","19640"
"2","Thane","14","120077","0","2289"
"3","TMC","51","198955","1","2176"
"4","Navi Mumbai","48","176202","0","2093"
"5","KDMC","11","178882","0","2977"
