"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"1","Mumbai","1121990","1100533","19640","1817"
"2","Thane","793282","780359","11947","976"
"3","Palghar","166905","163320","3418","167"
"4","Raigad","252271","246978","4956","337"
"5","Ratnagiri","85063","82464","2550","49"
"6","Sindhudurg","57628","56008","1535","85"
"7","Pune","1484063","1458425","20563","5075"
"8","Satara","279368","272423","6731","214"
"9","Sangli","227878","222004","5666","208"
"10","Kolhapur","221004","214947","5909","148"
"11","Solapur","228341","222132","5887","322"
"12","Nashik","475791","466184","8915","692"
"13","Ahmednagar","379190","371452","7245","493"
"14","Jalgaon","150004","147184","2762","58"
"15","Nandurbar","46773","45756","963","54"
"16","Dhule","51156","50376","670","110"
"17","Aurangabad","177975","173362","4288","325"
"18","Jalna","67180","65808","1224","148"
"19","Beed","109469","106515","2885","69"
"20","Latur","105594","102913","2489","192"
"21","Parbhani","58677","57367","1279","31"
"22","Hingoli","22366","21783","515","68"
"23","Nanded","102945","100188","2704","53"
"24","Osmanabad","75833","73461","2139","233"
