"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87680","28","85541","2111"
"2","SAS Nagar","68983","52","67859","1072"
"3","Jalandhar","63517","41","61977","1499"
"4","Patiala","48981","15","47604","1362"
"5","Amritsar","47432","8","45826","1598"
"6","Bathinda","41792","24","40722","1046"
"7","Hoshiarpur","30958","57","29908","993"
"8","Gurdaspur","22406","9","21594","803"
"9","Fazilka","20282","1","19751","530"
"10","Pathankot","18968","47","18493","428"
"11","Muktsar","18803","3","18276","524"
"12","Kapurthala","17869","3","17310","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15611","2","15228","381"
"15","Ferozepur","14421","34","13883","504"
"16","Faridkot","13950","6","13625","319"
"17","Ropar","12986","8","12554","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8904","3","8565","336"
"20","Moga","8684","2","8448","234"
"21","Tarn Taran","8066","9","7676","381"
"22","Barnala","5955","6","5705","244"
"","Total","603488","361","586519","16608"
