"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","407","572","3130"
"Kollam","194","474","1326"
"Pathanamthitta","121","196","1023"
"Alappuzha","131","302","1167"
"Kottayam","248","766","2273"
"Idukki","161","195","1737"
"Ernakulam","405","964","3650"
"Thrissur","141","562","1834"
"Palakkad","75","238","434"
"Malappuram","101","258","1308"
"Kozhikode","172","570","1696"
"Wayanad","90","224","983"
"Kannur","89","170","860"
"Kasaragod","38","34","243"
"Total","2373","5525","21664"
