"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109485","281","106940","2264"
"2","SAS Nagar","95187","573","93473","1141"
"3","Jalandhar","77968","388","76013","1567"
"4","Patiala","61890","71","60363","1456"
"5","Amritsar","59184","102","57404","1678"
"6","Bathinda","50658","163","49411","1084"
"7","Hoshiarpur","40573","348","39137","1088"
"8","Gurdaspur","26843","85","25899","859"
"9","Pathankot","24331","202","23643","486"
"10","Fazilka","23229","451","22234","544"
"11","Muktsar","22454","103","21814","537"
"12","Kapurthala","21917","96","21242","579"
"13","Ropar","17864","150","17263","451"
"14","Ferozepur","17782","69","17183","530"
"15","Mansa","17216","19","16806","391"
"16","Faridkot","16639","120","16184","335"
"17","Sangrur","13998","18","13262","718"
"18","SBS Nagar","13365","36","12926","403"
"19","FG Sahib","11803","35","11414","354"
"20","Moga","10951","34","10664","253"
"21","Tarn Taran","10830","86","10352","392"
"22","Barnala","7426","46","7070","310"
"23","Malerkotla","4265","4","4071","190"
"","Total","755858","3480","734768","17610"
