"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4406","3990","38","4","374"
"Bageshwar","2071","1976","10","0","85"
"Chamoli","3147","2951","89","3","104"
"Champawat","1848","1704","123","1","20"
"Dehradun","32345","31639","181","162","363"
"Haridwar","12801","12326","218","23","234"
"Nainital","11215","11075","74","29","37"
"Pauri Garhwal","5176","4120","73","16","967"
"Pithoragarh","2519","2303","79","4","133"
"Rudraprayag","2671","2487","58","2","124"
"Tehri Garhwal","2324","1965","38","5","316"
"U.S. Nagar","8748","8449","29","5","265"
"Uttarkashi","1594","1415","16","4","159"
"Total","90865","86400","1026","258","3181"
