"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16858","16550","47","261"
"2","Chengalpattu","171862","168425","927","2510"
"3","Chennai","554778","544838","1391","8549"
"4","Coimbatore","246897","243201","1277","2419"
"5","Cuddalore","64101","63021","213","867"
"6","Dharmapuri","28441","27975","191","275"
"7","Dindigul","33102","32361","96","645"
"8","Erode","104374","102925","763","686"
"9","Kallakurichi","31377","31075","92","210"
"10","Kancheepuram","74999","73418","323","1258"
"11","Kanyakumari","62382","61126","207","1049"
"12","Karur","24114","23541","217","356"
"13","Krishnagiri","43586","43052","186","348"
"14","Madurai","75227","73876","178","1173"
"15","Mayiladuthurai","23280","22890","74","316"
"16","Nagapattinam","21086","20578","162","346"
"17","Namakkal","52290","51301","491","498"
"18","Nilgiris","33585","33186","187","212"
"19","Perambalur","12067","11793","31","243"
"20","Pudukottai","30194","29640","138","416"
"21","Ramanathapuram","20570","20165","48","357"
"22","Ranipet","43450","42569","106","775"
"23","Salem","99950","97681","584","1685"
"24","Sivagangai","20206","19869","130","207"
"25","Tenkasi","27360","26839","37","484"
"26","Thanjavur","75394","73925","495","974"
"27","Theni","43573","43022","30","521"
"28","Thirupathur","29309","28609","75","625"
"29","Thiruvallur","119402","117181","379","1842"
"30","Thiruvannamalai","54984","54142","175","667"
"31","Thiruvarur","41484","40787","253","444"
"32","Thoothukudi","56318","55770","139","409"
"33","Tirunelveli","49383","48823","128","432"
"34","Tiruppur","95473","93742","750","981"
"35","Trichy","77569","76079","431","1059"
"36","Vellore","49883","48572","180","1131"
"37","Villupuram","45866","45392","118","356"
"38","Virudhunagar","46298","45693","57","548"
"39","Airport Surveillance 
(International)","1028","1025","2","1"
"40","Airport Surveillance 
(Domestic)","1085","1083","1","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,03,613","26,56,168","11,309","36,136"
