"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16915","16624","28","263"
"2","Chengalpattu","173302","170097","676","2529"
"3","Chennai","557206","547324","1287","8595"
"4","Coimbatore","249276","245582","1248","2446"
"5","Cuddalore","64351","63370","109","872"
"6","Dharmapuri","28732","28314","140","278"
"7","Dindigul","33199","32492","57","650"
"8","Erode","105769","104260","815","694"
"9","Kallakurichi","31538","31243","85","210"
"10","Kancheepuram","75440","73973","205","1262"
"11","Kanyakumari","62709","61501","153","1055"
"12","Karur","24478","23948","169","361"
"13","Krishnagiri","43782","43350","79","353"
"14","Madurai","75460","74152","126","1182"
"15","Mayiladuthurai","23349","23012","21","316"
"16","Nagapattinam","21273","20824","94","355"
"17","Namakkal","53128","52216","407","505"
"18","Nilgiris","33961","33538","210","213"
"19","Perambalur","12097","11841","12","244"
"20","Pudukottai","30307","29833","57","417"
"21","Ramanathapuram","20615","20229","27","359"
"22","Ranipet","43522","42722","25","775"
"23","Salem","100958","98810","450","1698"
"24","Sivagangai","20357","20080","69","208"
"25","Tenkasi","27384","26889","10","485"
"26","Thanjavur","75963","74699","277","987"
"27","Theni","43598","43067","10","521"
"28","Thirupathur","29367","28725","16","626"
"29","Thiruvallur","119998","117880","272","1846"
"30","Thiruvannamalai","55147","54415","63","669"
"31","Thiruvarur","41807","41202","148","457"
"32","Thoothukudi","56468","56000","58","410"
"33","Tirunelveli","49594","49055","106","433"
"34","Tiruppur","96685","95144","548","993"
"35","Trichy","78286","76832","377","1077"
"36","Vellore","50096","48850","108","1138"
"37","Villupuram","45980","45592","32","356"
"38","Virudhunagar","46380","45793","39","548"
"39","Airport Surveillance 
(International)","1031","1027","3","1"
"40","Airport Surveillance 
(Domestic)","1085","1084","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,21,021","26,76,017","8,616","36,388"
