"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","594","390","233047","2","12233","245280","886"
"Bageshwar","406","10","206790","0","5766","212556","739"
"Chamoli","410","329","286279","1","12250","298529","607"
"Champawat","1040","1428","243978","0","7615","251593","1254"
"Dehradun","2276","1562","1890549","8","112631","2003180","872"
"Haridwar","5461","4714","2129982","1","51565","2181547","2216"
"Nainital","1384","1139","550713","3","39327","590040","435"
"Pauri Garhwal","1018","908","393649","0","17731","411380","501"
"Pithoragarh","815","1136","218063","1","10271","228334","1233"
"Rudraprayag","567","305","193680","0","8805","202485","956"
"Tehri Garhwal","435","248","298696","0","15840","314536","808"
"US Nagar","4146","2095","913585","0","37891","951476","1273"
"Uttarkashi","412","36","336861","0","12562","349423","667"
"Total","18964","14300","7895872","16","344487","8240359","12447"
