"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,960"
"2","Number of persons tested positive today in Tamil Nadu","445"
"","Passengers returned from other countries  by 
International airport tested positive today","Nepal-1"
"","Passengers returned from other states  by Road tested 
positive today","Bihar-1 
Jharkhand-1 
Puducherry-1"
"","Total","449"
"3","Total Number of persons tested positive till date","35,71,479"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","17,267/ 
6,90,19,187@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","17,108/ 
6,78,04,688"
"6","No. of Male / Female / Transgender tested positive today","270/179/0"
"7","No. of Male / Female / Transgender tested positive till date","20,82,808/14,88,633/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","478/ 
35,28,482"
"10","Total number of deaths today/ till date","1 (0 Private & 
1 Govt) /38,037"
