"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","18,378"
"2","Number of persons tested positive today in Tamil Nadu","2,758"
"","Passengers returned from other countries  by 
International airport/Road   tested positive today","Bangladesh – 2 
Korea – 1 
USA - 1"
"","Passengers returned from other states  by Domestic 
airport  tested positive today","Delhi – 1 
Kerala - 1 
West Bengal - 1"
"","Total","2,765"
"3","Total Number of persons tested positive till date","34,93,599"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","32,408/ 
6,73,67,425@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","31,707/ 
6,61,83,356"
"6","No. of Male / Female / Transgender tested positive today","1,563/1,202/0"
"7","No. of Male / Female / Transgender tested positive till date","20,37,408/14,56,153/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,103/ 
34,37,193"
"10","Total number of deaths today/ till date","1(0 Private &  
1 Govt) /38,028"
