"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19616","0","267"
"2","Chengalpattu","235423","232720","45","2658"
"3","Chennai","751050","741853","129","9068"
"4","Coimbatore","329923","327280","26","2617"
"5","Cuddalore","74250","73350","5","895"
"6","Dharmapuri","36191","35908","0","283"
"7","Dindigul","37478","36812","1","665"
"8","Erode","132667","131931","2","734"
"9","Kallakurichi","36521","36306","0","215"
"10","Kancheepuram","94388","93073","13","1302"
"11","Kanyakumari","86217","85122","10","1085"
"12","Karur","29752","29380","0","372"
"13","Krishnagiri","59631","59258","3","370"
"14","Madurai","91029","89792","1","1236"
"15","Mayiladuthurai","26496","26166","0","330"
"16","Nagapattinam","25441","25065","1","375"
"17","Namakkal","68003","67466","3","534"
"18","Nilgiris","42125","41888","11","226"
"19","Perambalur","14461","14212","0","249"
"20","Pudukottai","34465","34037","2","426"
"21","Ramanathapuram","24674","24306","0","368"
"22","Ranipet","53918","53127","4","787"
"23","Salem","127367","125599","6","1762"
"24","Sivagangai","23826","23603","4","219"
"25","Tenkasi","32744","32254","0","490"
"26","Thanjavur","92146","91093","14","1039"
"27","Theni","50601","50066","2","533"
"28","Thirupathur","35734","35100","1","633"
"29","Thiruvallur","147447","145497","11","1939"
"30","Thiruvannamalai","66810","66124","1","685"
"31","Thiruvarur","48011","47538","1","472"
"32","Thoothukudi","64951","64502","1","448"
"33","Tirunelveli","62763","62317","1","445"
"34","Tiruppur","129928","128868","8","1052"
"35","Trichy","94944","93773","10","1161"
"36","Vellore","57298","56122","13","1163"
"37","Villupuram","54582","54214","2","366"
"38","Virudhunagar","56833","56275","4","554"
"39","Airport Surveillance 
(International)","1248","1243","4","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,52,751","34,14,387","339","38,025"
