"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20215","19935","13","267"
"2","Chengalpattu","251418","248503","257","2658"
"3","Chennai","787794","776585","2140","9069"
"4","Coimbatore","339094","335990","486","2618"
"5","Cuddalore","75639","74644","100","895"
"6","Dharmapuri","36766","36454","29","283"
"7","Dindigul","38754","38009","80","665"
"8","Erode","135751","134788","229","734"
"9","Kallakurichi","36913","36696","2","215"
"10","Kancheepuram","97804","96472","30","1302"
"11","Kanyakumari","89331","88010","236","1085"
"12","Karur","30172","29778","22","372"
"13","Krishnagiri","61830","61277","181","372"
"14","Madurai","92898","91633","29","1236"
"15","Mayiladuthurai","27273","26886","57","330"
"16","Nagapattinam","25921","25519","27","375"
"17","Namakkal","69532","68919","79","534"
"18","Nilgiris","42748","42498","24","226"
"19","Perambalur","14887","14613","25","249"
"20","Pudukottai","35164","34719","19","426"
"21","Ramanathapuram","24981","24602","11","368"
"22","Ranipet","56082","55268","27","787"
"23","Salem","131051","129062","226","1763"
"24","Sivagangai","24990","24731","40","219"
"25","Tenkasi","33818","33314","14","490"
"26","Thanjavur","93398","92323","34","1041"
"27","Theni","51793","51239","21","533"
"28","Thirupathur","36045","35368","44","633"
"29","Thiruvallur","152889","150904","45","1940"
"30","Thiruvannamalai","68176","67465","26","685"
"31","Thiruvarur","48924","48428","23","473"
"32","Thoothukudi","67051","66578","25","448"
"33","Tirunelveli","65690","65190","55","445"
"34","Tiruppur","131708","130535","121","1052"
"35","Trichy","97737","96506","70","1161"
"36","Vellore","58015","56796","56","1163"
"37","Villupuram","56133","55723","43","367"
"38","Virudhunagar","59199","58584","60","555"
"39","Airport Surveillance 
(International)","1389","1385","3","1"
"40","Airport Surveillance 
(Domestic)","1166","1164","1","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,70,567","35,27,521","5,010","38,036"
