"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","2,13,534"
"2","Number of persons tested positive today in Tamil Nadu","28,512"
"","Passengers returned from other states / countries by 
Road tested positive today","Bangladesh – 2 
Odisha - 1"
"","Total","28,515"
"3","Total Number of persons tested positive till date","32,52,751"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,46,798/ 
6,12,00,909@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,37,258/ 
6,01,61,970"
"6","No. of Male / Female / Transgender tested positive today","16,089/12,426/0"
"7","No. of Male / Female / Transgender tested positive till date","18,96,902/13,55,811/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","331 (69 Govt+ 
262 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","28,620/ 
30,01,805"
"10","Total number of deaths today/ till date","53(31 Private &  
22 Govt) /37,412"
