,Unnamed: 0,44,Unnamed: 1,जौनपरु,Unnamed: 2,15,Unnamed: 3,0,Unnamed: 4,22350,Unnamed: 5,0.1,Unnamed: 6,235,Unnamed: 7,41,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,ममर्ापरु,,15.0,,0.0,,10973.0,,0.0,,116.0,,41.0,,,,,
1,,46,,सीतापरु,,17.0,,0.0,,12214.0,,0.0,,185.0,,39.0,,,,,
2,,47,,मसद्धाथ नगर,,16.0,,0.0,,9275.0,,0.0,,100.0,,34.0,,,,,
3,,48,,महाराजगजं,,11.0,,1.0,,12323.0,,0.0,,141.0,,32.0,,,,,
4,,49,,लमलतपरु,,17.0,,0.0,,12622.0,,0.0,,128.0,,30.0,,,,,
5,,50,,बमलया,,12.0,,1.0,,21377.0,,0.0,,234.0,,28.0,,,,,
6,,51,,एटा,,7.0,,7.0,,9876.0,,0.0,,99.0,,28.0,,,,,
7,,52,,फर्रखाबाद,,8.0,,0.0,,10155.0,,0.0,,194.0,,27.0,,,,,
8,,53,,कन्नौज,,11.0,,1.0,,9115.0,,0.0,,115.0,,26.0,,,,,
9,,54,,गोंडा,,11.0,,0.0,,12016.0,,0.0,,271.0,,25.0,,,,,
10,,55,,बलरामपरु,,9.0,,0.0,,7356.0,,0.0,,138.0,,24.0,,,,,
11,,56,,सलु्तानपरु,,7.0,,0.0,,14780.0,,0.0,,138.0,,23.0,,,,,
12,,57,,इटावा,,8.0,,0.0,,13640.0,,0.0,,293.0,,22.0,,,,,
13,,58,,कासगजं,,10.0,,0.0,,4198.0,,0.0,,53.0,,20.0,,,,,
14,,59,,अमठेी,,8.0,,0.0,,9830.0,,0.0,,143.0,,17.0,,,,,
15,,60,,कानपरु देहात,,2.0,,0.0,,6089.0,,0.0,,110.0,,17.0,,,,,
16,,61,,कुशीनगर,,6.0,,0.0,,15390.0,,0.0,,228.0,,17.0,,,,,
17,,62,,मऊ,,5.0,,0.0,,8253.0,,0.0,,80.0,,15.0,,,,,
18,,63,,पीलीभीत,,7.0,,0.0,,10839.0,,0.0,,193.0,,15.0,,,,,
19,,64,,बादा,,4.0,,0.0,,10832.0,,0.0,,161.0,,14.0,,,,,
20,,65,,अम्बडेकर नगर,,5.0,,0.0,,4888.0,,0.0,,152.0,,13.0,,,,,
21,,66,,प्रतापगढ़,,5.0,,0.0,,15875.0,,0.0,,163.0,,13.0,,,,,
22,,67,,भदोही,,9.0,,0.0,,7558.0,,0.0,,163.0,,12.0,,,,,
23,,68,,चचत्रकट,,4.0,,0.0,,7031.0,,0.0,,79.0,,10.0,,,,,
24,,69,,फतहेपरु,,4.0,,1.0,,6680.0,,0.0,,139.0,,10.0,,,,,
25,,70,,कौशाम्बी,,0.0,,0.0,,4356.0,,0.0,,70.0,,6.0,,,,,
26,,71,,महोबा,,2.0,,0.0,,4182.0,,0.0,,86.0,,6.0,,,,,
27,,72,,सतं कबीर नगर,,2.0,,0.0,,8064.0,,0.0,,98.0,,5.0,,,,,
28,,73,,हमीरपरु,,2.0,,0.0,,5138.0,,0.0,,102.0,,4.0,,,,,
29,,74,,श्रावस्ती,,3.0,,0.0,,4354.0,,0.0,,35.0,,4.0,,,,,
30,,75,,जालौन,,0.0,,0.0,,11489.0,,0.0,,202.0,,3.0,,,,,
31,,Total,,,,,,,6411.0,,171.0,,1688395.0,,6.0,,22924.0,,18551.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 22924 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
