,Unnamed: 0,44,Unnamed: 1,बस्ती,Unnamed: 2,57,Unnamed: 3,75,Unnamed: 4,11789,Unnamed: 5,0,Unnamed: 6,331,Unnamed: 7,505,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,जालौन,,137.0,,29.0,,11564.0,,0.0,,203.0,,505.0,,,,,
1,,46,,जौनपरु,,64.0,,51.0,,22722.0,,2.0,,238.0,,492.0,,,,,
2,,47,,सभंल,,135.0,,64.0,,10033.0,,0.0,,106.0,,478.0,,,,,
3,,48,,ससद्धाथ ुनगर,,66.0,,78.0,,9611.0,,0.0,,100.0,,478.0,,,,,
4,,49,,आजमगढ़,,104.0,,50.0,,17972.0,,0.0,,229.0,,467.0,,,,,
5,,50,,बागपत,,75.0,,43.0,,10048.0,,0.0,,143.0,,453.0,,,,,
6,,51,,लसलतपरु,,120.0,,26.0,,12831.0,,1.0,,130.0,,412.0,,,,,
7,,52,,बसलया,,73.0,,26.0,,21568.0,,0.0,,237.0,,410.0,,,,,
8,,53,,कन्नौज,,111.0,,21.0,,9319.0,,0.0,,116.0,,407.0,,,,,
9,,54,,पीलीभीत,,51.0,,62.0,,11055.0,,0.0,,194.0,,364.0,,,,,
10,,55,,महाराजगजं,,71.0,,52.0,,12685.0,,0.0,,142.0,,310.0,,,,,
11,,56,,समर्ाुपरु,,45.0,,40.0,,11313.0,,0.0,,117.0,,296.0,,,,,
12,,57,,फतहेपरु,,73.0,,13.0,,6800.0,,0.0,,139.0,,278.0,,,,,
13,,58,,उन्नाव,,133.0,,48.0,,15132.0,,0.0,,254.0,,274.0,,,,,
14,,59,,अम्बडेकर नगर,,40.0,,35.0,,5108.0,,1.0,,154.0,,249.0,,,,,
15,,60,,हाथरस,,9.0,,49.0,,3353.0,,0.0,,43.0,,244.0,,,,,
16,,61,,श्रावस्ती,,47.0,,40.0,,4474.0,,0.0,,37.0,,235.0,,,,,
17,,62,,कानपरु देहात,,55.0,,31.0,,6212.0,,0.0,,110.0,,232.0,,,,,
18,,63,,औरैय्या,,35.0,,51.0,,10131.0,,1.0,,205.0,,225.0,,,,,
19,,64,,बलरामपरु,,43.0,,39.0,,7526.0,,0.0,,138.0,,224.0,,,,,
20,,65,,बादा,,43.0,,58.0,,11003.0,,0.0,,161.0,,223.0,,,,,
21,,66,,कुशीनगर,,38.0,,27.0,,15507.0,,0.0,,228.0,,221.0,,,,,
22,,67,,मऊ,,53.0,,43.0,,8383.0,,1.0,,81.0,,218.0,,,,,
23,,68,,सतं कबीर नगर,,88.0,,27.0,,8201.0,,0.0,,98.0,,214.0,,,,,
24,,69,,भदोही,,39.0,,8.0,,7635.0,,0.0,,164.0,,207.0,,,,,
25,,70,,चचत्रकट,,27.0,,17.0,,7118.0,,0.0,,79.0,,171.0,,,,,
26,,71,,प्रतापगढ़,,28.0,,29.0,,15996.0,,0.0,,164.0,,150.0,,,,,
27,,72,,हमीरपरु,,43.0,,35.0,,5240.0,,0.0,,102.0,,140.0,,,,,
28,,73,,कासगजं,,66.0,,52.0,,4458.0,,0.0,,53.0,,138.0,,,,,
29,,74,,महोबा,,13.0,,13.0,,4217.0,,0.0,,86.0,,60.0,,,,,
30,,75,,कौशाम्बी,,8.0,,8.0,,4394.0,,0.0,,71.0,,55.0,,,,,
31,,Total,,,,,,,16740.0,,15757.0,,1813485.0,,16.0,,23038.0,,96642.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23038 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
