,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10029,9896,129,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,662560,329608,322949,10003,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,226,175,67,468,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2319181,2303933,14730,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,89123422,43346458,44208233,1568731,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,140141,132980,4301,277422,40,58,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,64484,64179,296,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,1649796,891285,733489,25022,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,182,443,23,648,1,3,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,724186,716184,6639,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,43730150,23446861,20002186,281103,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,2159,5038,225,7422,1,3,0,,,1332900000,Assam,34293000
4,Bihar,830413,818115,12255,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,122640519,66853455,54945450,841614,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,2975,9594,360,12929,5,13,0,,,1332900000,Bihar,119520000
5,Chandigarh,91882,90689,1165,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,2051793,1126860,898758,26175,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,340,520,89,949,2,9,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1151907,1137729,14034,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,37593237,19740543,17435772,416922,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,3957,5369,428,9754,3,34,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11441,11436,4,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,1368485,758555,601526,8404,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,1605,131,37,1773,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1863694,1837066,26146,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,31915298,17372456,14086022,456820,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,18789,18525,3653,40967,61,180,1,,,1332900000,Delhi,19814000
9,Goa,245248,241363,3830,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,2663199,1398945,1232567,31687,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,2127,258,44,2429,5,14,0,,,1332900000,Goa,1540000
10,Gujarat,1223745,1212448,10939,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,104698049,52554463,49915773,2227813,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,66205,32124,7956,106285,17,43,0,,,1332900000,Gujarat,67936000
11,Haryana,984496,973385,10596,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,41511977,22937314,18318030,256633,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,12728,11643,1269,25640,39,94,1,,,1332900000,Haryana,28672000
12,Himachal Pradesh,284320,279882,4132,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,12481266,6349757,5941503,190006,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,11806,1107,758,13671,16,34,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,453523,448666,4750,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,21842238,10832604,10693212,316422,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,24052,8774,888,33714,3,29,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,435027,429570,5315,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,37713350,22385830,15084487,243033,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,1604,4701,40,6345,0,6,0,,,1332900000,Jharkhand,37403000
15,Karnataka,3944605,3902497,40035,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,102566039,52345321,48920412,1300306,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,51967,47988,5232,105187,173,153,2,,,1332900000,Karnataka,65798000
16,Kerala,6526554,6452264,67315,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,53121352,28151533,23967590,1002229,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,11321,13025,5216,29562,719,915,118,,,1332900000,Kerala,35125000
17,Ladakh,28202,27934,228,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,451381,229591,188888,32902,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,438,39,164,641,2,9,0,,,1332900000,Ladakh,293000
18,Lakshadweep,11402,11350,52,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,120704,61010,57159,2535,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,642,10,2,654,0,0,0,,,1332900000,Lakshadweep,68000
19,Maharashtra,7872300,7723005,143766,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,158458113,87703024,69078163,1676926,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,57386,106854,12740,176980,97,251,1,,,1332900000,Maharashtra,122153000
20,Manipur,137040,134830,2120,2022-03-20,TT,43007841,516479,42465122,2022-03-20 12:41:11.617177,782660658,2022-03-19 00:00:00,431973,1811176796,971369185,819352129,20455482,2766863,1527441,1175032,64390,https://www.icmr.gov.in/,1761,127,3196,66850,857623,697991,1622464,421,198,20,639,1,14,0,,,1332900000,Manipur,3103000
