"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","5","0","1","0","1900","1881","14"
"East Jaintia Hills","1","0","1","0","2441","2408","32"
"East Khasi Hills","237","14","23","1","41657","40421","999"
"North Garo Hills","0","0","0","0","1685","1677","8"
"Ri-Bhoi","10","3","1","0","9730","9630","90"
"South Garo Hills","0","0","0","0","1217","1205","12"
"South West Garo Hills","0","0","0","0","1873","1855","18"
"South West Khasi Hills","0","0","0","0","2549","2532","17"
"West Garo Hills","9","0","2","0","9077","8995","73"
"West Jaintia Hills","10","0","0","0","6820","6675","135"
"West Khasi Hills","13","0","4","0","5512","5425","74"
"Total","285","17","32","1","84461","82704","1472"
