"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
07-01-2022","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","1879","189230","182948[743]","96.68","926","5356","28153","12230","4461600"
"2","Faridabad","580","101773","99409[28]","97.68","717","1647","17977","10905","3299699"
"3","Hisar","38","54150","52871[3]","97.64","1137","142","12193","9643","2033694"
"4","Sonepat","191","47709","46959[5]","98.43","254","496","15522","8115","1956036"
"5","Karnal","142","40515","39544[6]","97.60","554","417","14164","7952","2042825"
"6","Panipat","58","31309","30530[3]","97.51","638","141","8831","6122","1699651"
"7","Panchkula","313","31833","30676[38]","96.37","382","775","6432","3373","945826"
"8","Ambala","156","30859","29697[6]","96.23","511[2]","651","7339","3313","1867016"
"9","Sirsa","25","29367","28801[4]","98.07","509","57","9378","4217","1711148"
"10","Rohtak","56","26136","25376","97.09","534","209","10588","5122","1383284"
"11","Yamunanagar","65","24866","24272[9]","97.61","415[1]","179","7299","9130","1546865"
"12","Bhiwani","17","22457","21761","96.90","652","44","11969","2487","1539426"
"13","Kurukshetra","42","22338","21845[12]","97.79","358","135","9530","3384","1221389"
"14","Mahindergarh","6","21721","21537","99.15","156","28","10093","2726","1171601"
"15","Jind","23","21282","20681[3]","97.18","533","68","10061","4834","1439166"
"16","Rewari","27","20423","20114[5]","98.49","221","88","13500","3533","1360839"
"17","Jhajjar","58","19029","18528[6]","97.37","328","167","8962","6082","1347051"
"18","Fatehabad","21","17931","17402[2]","97.05","482","47","6914","3881","1073767"
"19","Kaithal","24","11313","10905","96.39","348","60","9448","2738","1441315"
"20","Palwal","9","11065","10879[2]","98.32","153","33","6067","6227","1241621"
"21","Charkhi Dadri","2","5090","4943","97.11","139","8","3320","1485","751791"
"22","Nuh","16","5048","4898[7]","97.03","123","27","5052","5813","926460"
"Haryana","","3748","785444","764576[882]","97.34","10070[3]","10775","232792","123312","36462070"
