"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3062","113538","3020","110509","38","3017","12"
"2","SAS Nagar","5338","101027","5296","99829","20","1168","30"
"3","Jalandhar","2803","81068","2731","79069","42","1982","17"
"4","Patiala","2120","64200","2085","62468","11","1722","10"
"5","Amritsar","1392","60947","1372","59080","6","1846","21"
"6","Bathinda","1562","52429","1546","50989","4","1427","13"
"7","Hoshiarpur","1294","42403","1245","40977","19","1419","7"
"8","Gurdaspur","345","27272","328","26401","7","871","0"
"9","Pathankot","513","25015","478","24493","4","521","1"
"10","Fazilka","500","23932","497","23300","0","621","11"
"11","Muktsar","281","22833","276","22286","3","542","5"
"12","Kapurthala","545","22574","530","21971","8","600","3"
"13","Ropar","1137","19075","1125","18608","4","459","8"
"14","Ferozepur","470","18363","460","17820","3","540","3"
"15","Mansa","191","17416","187","17023","1","392","1"
"16","Faridkot","378","17214","379","16800","3","414","0"
"17","Sangrur","275","14709","267","13840","9","869","0"
"18","SBS Nagar","463","13865","466","13454","0","409","2"
"19","FG Sahib","715","12630","705","12185","1","437","8"
"20","Moga","247","11246","241","10972","6","272","2"
"21","Tarn Taran","151","11051","143","10648","1","399","4"
"22","Barnala","215","7715","209","7347","7","364","4"
"23","Malerkotla","61","4064","58","3849","3","214","1"
"","Total","24058","784586","23644","763918","200","20505","163"
