"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","27,294"
"2","Number of persons tested positive today in Tamil Nadu","1,308"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 1"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal - 1"
"","Total","1,310"
"3","Total Number of persons tested positive till date","34,40,531"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","85,579/ 
6,35,63,087@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","83,788/ 
6,23,99,655"
"6","No. of Male / Female / Transgender tested positive today","768/542/0"
"7","No. of Male / Female / Transgender tested positive till date","20,08,097/14,32,396/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","5,374/ 
33,75,281"
"10","Total number of deaths today/ till date","10(5 Private &  
5 Govt) /37,956"
