"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","1","1","0","0","1919","1902","16"
"East Jaintia Hills","3","1","0","0","2452","2417","32"
"East Khasi Hills","321","66","10","0","42284","40954","1009"
"North Garo Hills","1","0","0","0","1687","1678","8"
"Ri-Bhoi","12","3","0","0","9756","9654","90"
"South Garo Hills","0","0","0","0","1218","1206","12"
"South West Garo Hills","0","0","0","0","1873","1855","18"
"South West Khasi Hills","3","0","0","0","2553","2533","17"
"West Garo Hills","45","5","0","0","9140","9022","73"
"West Jaintia Hills","7","0","0","0","6831","6688","136"
"West Khasi Hills","1","0","0","0","5521","5446","74"
"Total","394","76","10","0","85234","83355","1485"
