"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","446","46","265180","25","14274","279454","982"
"Bageshwar","502","406","228671","101","6909","235580","647"
"Chamoli","316","310","307764","159","13615","321379","785"
"Champawat","1075","562","286419","87","8831","295250","1429"
"Dehradun","6755","7361","2034639","1264","133428","2168067","1741"
"Haridwar","4860","6252","2355506","826","59901","2415407","1269"
"Nainital","646","468","602425","200","47302","649727","253"
"Pauri Garhwal","997","1219","435970","220","20817","456787","294"
"Pithoragarh","313","366","248709","157","11613","260322","464"
"Rudraprayag","343","842","210517","259","9686","220203","264"
"Tehri Garhwal","158","498","317786","99","17239","335025","298"
"US Nagar","1107","1397","1014603","252","43572","1058175","568"
"Uttarkashi","271","589","354766","78","13214","367980","371"
"Total","17789","20316","8662955","3727","400401","9063356","9365"
