Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeOtherNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeOtherNumberForState,cumulativeTestedNumberForState
2022-03-25,MH,Ahmednagar,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,377452,7242,0,370124,,2022-03-28 17:17:11.926482,2022-03-28 17:17:11.927287,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7873231,147779,7724560,0,79156002
2022-03-25,MH,Akola,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,66168,1470,0,64694,,2022-03-28 17:17:11.926482,2022-03-28 17:17:11.927287,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7873231,147779,7724560,0,79156002
2022-03-25,MH,Amravati,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,105932,1623,0,104304,,2022-03-28 17:17:11.926482,2022-03-28 17:17:11.927287,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7873231,147779,7724560,0,79156002
2022-03-25,MH,Aurangabad,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,176472,4284,0,172163,,2022-03-28 17:17:11.926482,2022-03-28 17:17:11.927287,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7873231,147779,7724560,0,79156002
2022-03-25,MH,Beed,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,109120,2882,0,106224,,2022-03-28 17:17:11.926482,2022-03-28 17:17:11.927287,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7873231,147779,7724560,0,79156002
2022-03-25,MH,Bhandara,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,67939,1142,0,66795,,2022-03-28 17:17:11.926482,2022-03-28 17:17:11.927287,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7873231,147779,7724560,0,79156002
2022-03-25,MH,Buldhana,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,91946,830,0,91106,,2022-03-28 17:17:11.926482,2022-03-28 17:17:11.927287,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7873231,147779,7724560,0,79156002
2022-03-25,MH,Chandrapur,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,98815,1592,0,97220,,2022-03-28 17:17:11.926482,2022-03-28 17:17:11.927287,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7873231,147779,7724560,0,79156002
2022-03-25,MH,Dhule,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,50709,670,0,50037,,2022-03-28 17:17:11.926482,2022-03-28 17:17:11.927287,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7873231,147779,7724560,0,79156002
2022-03-25,MH,Gadchiroli,,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,36964,725,0,36236,,2022-03-28 17:17:11.926482,2022-03-28 17:17:11.927287,,0 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7873231,147779,7724560,0,79156002
