TT|2022-01-28 07:55:10.258987|GetSource|ERR|File Not Found
TT|2022-01-28 09:55:11.669866|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-28 09:55:35.713918|ExtractFromHTML|OK|COMPLETED
TT|2022-01-28 11:55:12.895783|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-28 11:55:30.906545|ExtractFromHTML|OK|COMPLETED
TT|2022-01-28 11:58:37.094223|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-28 11:58:53.797228|ExtractFromHTML|OK|COMPLETED
TT|2022-01-28 19:55:11.257303|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-28 19:55:25.749389|ExtractFromHTML|OK|COMPLETED
TT|2022-01-28 20:55:10.495808|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-28 20:55:30.966501|ExtractFromHTML|OK|COMPLETED
TT|2022-01-28 21:36:01.301369|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-28 21:36:21.614710|ExtractFromHTML|OK|COMPLETED
TT|2022-01-28 21:55:09.681553|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-28 21:55:28.498623|ExtractFromHTML|OK|COMPLETED
TT|2022-01-28 22:55:10.466474|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-28 22:55:29.179971|ExtractFromHTML|OK|COMPLETED
TT|2022-01-28 23:55:10.526511|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-28 23:55:29.409551|ExtractFromHTML|OK|COMPLETED
TT|2022-01-29 07:55:10.981510|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-29 09:55:11.737312|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
