"S. No","Subject","Number"
"1","Total Number of people vaccinated on 7th Aug","3,91,898"
"2","First Dose on 7th Aug","3,36,896"
"3","Second Dose on 7th Aug","55,002"
"4","Cumulative Vaccination till 7th Aug","3,16,68,239"
"5","Cumulative Vaccination First Dose","2,26,50,122"
"6","Cumulative Vaccination Second Dose","90,18,117"
"7","Number of CVC (Common Vaccination Centres)","2,738"
"8","Cumulative AEFI cases reported","2,442"
"9","Vaccine wastage","-7%"
