"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20208","19932","9","267"
"2","Chengalpattu","251254","248337","259","2658"
"3","Chennai","787387","776089","2229","9069"
"4","Coimbatore","338780","335663","499","2618"
"5","Cuddalore","75589","74592","102","895"
"6","Dharmapuri","36743","36430","30","283"
"7","Dindigul","38689","37972","52","665"
"8","Erode","135614","134615","265","734"
"9","Kallakurichi","36914","36693","6","215"
"10","Kancheepuram","97753","96425","26","1302"
"11","Kanyakumari","89187","87934","168","1085"
"12","Karur","30160","29762","26","372"
"13","Krishnagiri","61701","61133","197","371"
"14","Madurai","92881","91596","49","1236"
"15","Mayiladuthurai","27253","26850","73","330"
"16","Nagapattinam","25896","25506","15","375"
"17","Namakkal","69480","68858","88","534"
"18","Nilgiris","42734","42480","28","226"
"19","Perambalur","14886","14611","26","249"
"20","Pudukottai","35153","34706","21","426"
"21","Ramanathapuram","24979","24598","13","368"
"22","Ranipet","56016","55208","21","787"
"23","Salem","130893","128863","267","1763"
"24","Sivagangai","24963","24704","40","219"
"25","Tenkasi","33807","33309","8","490"
"26","Thanjavur","93381","92303","37","1041"
"27","Theni","51782","51221","28","533"
"28","Thirupathur","36014","35352","29","633"
"29","Thiruvallur","152817","150838","39","1940"
"30","Thiruvannamalai","68132","67435","12","685"
"31","Thiruvarur","48910","48409","28","473"
"32","Thoothukudi","67031","66555","28","448"
"33","Tirunelveli","65654","65133","76","445"
"34","Tiruppur","131616","130432","132","1052"
"35","Trichy","97689","96453","75","1161"
"36","Vellore","57985","56773","49","1163"
"37","Villupuram","56091","55672","52","367"
"38","Virudhunagar","59161","58555","51","555"
"39","Airport Surveillance 
(International)","1389","1384","4","1"
"40","Airport Surveillance 
(Domestic)","1166","1161","4","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,68,166","35,24,970","5,161","38,035"
