"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109544","232","107046","2266"
"2","SAS Nagar","95293","439","93713","1141"
"3","Jalandhar","78003","271","76162","1570"
"4","Patiala","61903","63","60384","1456"
"5","Amritsar","59239","96","57465","1678"
"6","Bathinda","50689","142","49462","1085"
"7","Hoshiarpur","40609","252","39267","1090"
"8","Gurdaspur","26860","72","25927","861"
"9","Pathankot","24359","165","23708","486"
"10","Fazilka","23274","319","22411","544"
"11","Muktsar","22482","98","21847","537"
"12","Kapurthala","21948","94","21275","579"
"13","Ropar","17880","68","17361","451"
"14","Ferozepur","17800","48","17222","530"
"15","Mansa","17216","12","16813","391"
"16","Faridkot","16665","103","16225","337"
"17","Sangrur","14004","21","13264","719"
"18","SBS Nagar","13369","35","12931","403"
"19","FG Sahib","11809","24","11431","354"
"20","Moga","10962","30","10679","253"
"21","Tarn Taran","10844","74","10377","393"
"22","Barnala","7439","44","7074","321"
"23","Malerkotla","4265","4","4071","190"
"","Total","756456","2706","736115","17635"
