District,Recovered,Deceased,Active
लखनऊ,287669,2680,3142
झ सी,42241,672,1485
गौतम बिु नगर,95203,488,1076
िाराणसी,95829,984,905
प्रय गर ज,85957,1102,759
गाज़ियाबाद,82877,473,642
लखीमपरु-खीरी,28674,298,624
र य बरेली,20245,345,574
गोरखपरु,65049,861,489
मरेठ,87368,930,405
श हजह परु,23714,446,347
कानपरु नगर,90642,1921,342
आगरा,34932,464,331
ब र बकी,23009,226,322
बरेली,49546,377,311
हरदोई,16503,362,304
बद य,17424,101,302
ज लौन,13319,206,290
सीत परु,15097,187,287
बलुदंशहर,25856,249,283
पीलीभीत,12276,203,278
उन्न व,16409,256,274
आजमगढ़,19051,234,259
लललतपरु,14112,130,253
लसद्ध र् नगर,11133,102,245
देवररय,21976,227,233
कन्नौज,10399,121,220
गाजीपरु,23554,293,208
सलु्त नपरु,16471,144,200
जौनपरु,23956,243,194
मह र जगज,14106,145,185
मजुफ्फरनगर,38030,276,184
अलीगढ,25174,113,181
बहर इच,13051,178,168
सोनभद्र,18331,256,165
भदोही,8228,164,150
फतहेपरु,7887,141,150
मरुादाबाद,45847,366,140
गोंड,13821,281,139
अम्बडेकर नगर,5669,159,138
मर्रु,25299,406,137
हमीरपरु,5770,102,135
अमरोह,19039,205,130
