District,Recovered,Deceased,Active
शामली,16503,48,126
क नपरु देह त,6853.0,110.0,125.0
ब द,11806.0,163.0,122.0
बबजनौर,18077.0,137.0,118.0
हापड़ु,15013.0,222.0,117.0
प्रतापगढ़,16465.0,163.0,116.0
श्र वस्ती,4979.0,39.0,109.0
अमठेी,11198.0,145.0,104.0
फर्रख ब द,11715.0,197.0,104.0
कुशीनगर,16010.0,234.0,103.0
सहारनपरु,38164.0,425.0,103.0
बस्ती,12608.0,335.0,102.0
चदौली,17343.0,376.0,100.0
बललय,22399.0,245.0,87.0
इट व,15596.0,296.0,80.0
अयोध्य,18482.0,292.0,77.0
कौश म्बी,4709.0,72.0,76.0
लमर् परु,11850.0,121.0,62.0
र मपरु,14508.0,152.0,59.0
बागपत,10922.0,140.0,58.0
चचत्रकट,7643.0,79.0,58.0
एट,11995.0,100.0,54.0
औरैय्य,10673.0,210.0,52.0
मनैपरुी,11358.0,189.0,50.0
सत कबीर नगर,8754.0,100.0,49.0
क्रिरोजाबाद,10432.0,136.0,48.0
मऊ,8853.0,84.0,48.0
सभल,10942.0,108.0,47.0
महोब,4364.0,88.0,46.0
बलर मपरु,8020.0,139.0,33.0
ह र्रस,3676.0,43.0,23.0
क सगज,4820.0,54.0,23.0
