,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-12-02,DL,Central Delhi,,,,,,,,2021-12-03 10:36:52.365906,,,,1441190,25098,1415785,31038226
1,1,2021-12-02,DL,East Delhi,,,,,,,,2021-12-03 10:36:52.365906,,,,1441190,25098,1415785,31038226
2,2,2021-12-02,DL,New Delhi,,,,,,,,2021-12-03 10:36:52.365906,,,,1441190,25098,1415785,31038226
3,3,2021-12-02,DL,North Delhi,,,,,,,,2021-12-03 10:36:52.365906,,,,1441190,25098,1415785,31038226
4,4,2021-12-02,DL,North East Delhi,,,,,,,,2021-12-03 10:36:52.365906,,,,1441190,25098,1415785,31038226
5,5,2021-12-02,DL,North West Delhi,,,,,,,,2021-12-03 10:36:52.365906,,,,1441190,25098,1415785,31038226
6,6,2021-12-02,DL,Shahdara,,,,,,,,2021-12-03 10:36:52.365906,,,,1441190,25098,1415785,31038226
7,7,2021-12-02,DL,South Delhi,,,,,,,,2021-12-03 10:36:52.365906,,,,1441190,25098,1415785,31038226
8,8,2021-12-02,DL,South East Delhi,,,,,,,,2021-12-03 10:36:52.365906,,,,1441190,25098,1415785,31038226
9,9,2021-12-02,DL,South West Delhi,,,,,,,,2021-12-03 10:36:52.365906,,,,1441190,25098,1415785,31038226
10,10,2021-12-02,DL,West Delhi,,,,,,,,2021-12-03 10:36:52.365906,,,,1441190,25098,1415785,31038226
11,11,2021-12-02,DL,Unknown,,,,1441190.0,25098.0,1415785.0,,2021-12-03 10:36:52.365906,,,,1441190,25098,1415785,31038226
