"","","","","","","","","","",""
"","","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"1","Bagalakote","0","40679","0","40311","1","0","367","0",""
"2","Ballari","1","115508","1","113725","18","0","1763","2",""
"3","Belagavi","0","100121","6","99099","19","0","1001","2",""
"4","Bengaluru Rural","0","79274","2","78358","62","0","906","0",""
"5","Bengaluru Urban","53","1781060","110","1762459","1596","1","16952","1",""
"6","Bidar","0","29806","0","29380","2","0","420","4",""
"7","Chamarajanagara","0","43615","0","43079","1","0","524","11",""
"8","Chikkaballapura","4","55625","0","55154","11","0","459","1",""
"9","Chikkamagaluru","1","57241","1","56830","5","0","406","0",""
"10","Chitradurga","5","46312","8","46034","39","0","239","0",""
"11","Dakshina 
Kannada*","1","135472","4","133605","18","0","1839","10",""
"12","Davanagere","0","57534","0","56909","2","0","623","0",""
"13","Dharwada","1","84067","4","82669","8","0","1383","7",""
"14","Gadag","0","30583","0","30248","0","0","335","0",""
"15","Hassana","0","143856","0","142546","1","1","1307","2",""
"16","Haveri","0","26839","2","26169","2","0","668","0",""
"17","Kalaburagi","0","76598","0","75704","14","0","880","0",""
"18","Kodagu","0","49263","2","48909","1","0","352","1",""
"19","Kolara","0","62985","1","62316","5","0","664","0",""
"20","Koppala","0","41281","0","40743","0","0","538","0",""
"21","Mandya","0","101481","1","100767","3","0","711","0",""
"22","Mysuru","0","229447","13","226860","29","0","2558","0",""
"23","Raichuru","0","45447","0","45081","2","0","364","0",""
"24","Ramanagara","2","29791","3","29440","4","0","347","0",""
"25","Shivamogga*","2","83321","9","82174","18","0","1128","1",""
"26","Tumakuru","1","159830","2","158602","12","0","1216","0",""
"27","Udupi","0","95594","0","95043","5","0","546","0",""
"28","Uttara Kannada*","0","71161","3","70345","7","0","809","0",""
"29","Vijayapura","0","40996","0","40473","4","0","519","0",""
"30","Yadagiri*","0","29962","1","29748","2","0","212","0",""
"31","Others*","","36","0","33","0","0","3","0",""
"Total","","71","3944785","173","3902813","1891","2","40039","42",""
"*
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today.  
* Reconciled with SSU 
 
 
 
Date:21-03-2022 
Page 5 of 7","","","","","","","","","",""
