"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 02-07-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","241","1165","283293","","281120 [201] ↑  99.23%","1008","192","640","4189","5462376"
"2","Faridabad","52","437","131938","130760 [59] ↑","99.11%","741","126","298","1693","4089766"
"3  Hisar","","4","57","62438","61206 [9] ↑","98.03%","1175","237","284","324","2366320"
"4","Sonipat","0","49","58901","58576","99.45%","276","36","218","218","2306497"
"5","Karnal","14","102","48509","47811 [14] ↑","98.56%","596","32","139","423","2405561"
"6","Panchkula","34","190","45167","44562 [11] ↑","98.66%","415","85","279","547","1141568"
"7","Ambala","10","122","41056","40392 [7] ↑","98.38%","542","45","127","532","2157841"
"8","Panipat","0","45","36217","35499","98.02%","673","47","183","347","2073694"
"9","Sirsa","12","33","33529","32957 [5] ↑","98.29%","539","13","174","76","1949411"
"10  Rohtak","","13","80","32228","31594 [16] ↑","98.03%","537","26","632","474","1743600"
"","11  Yamunanagar","5","28","30771","30288 [10] ↑","98.43%","455","36","370","372","1980458"
"12  Kurukshetra","","2","49","26991","26544 [4] ↑","98.34%","398","23","343","211","1572242"
"13  Bhiwani","","1","13","26617","25939 [4] ↑","97.45%","665","33","1011","341","1810361"
"","14  Mahendragarh","0","16","24783","24602 [3] ↑","99.27%","165","15","44","201","1404011"
"15  Rewari","","0","3","24714","24487 [3] ↑","99.08%","224","37","149","626","1590085"
"16","Jind","11","35","24485","23908 [12] ↑","97.64%","542","36","258","251","1736417"
"17","Jhajjar","4","16","23601","23229 [1] ↑","98.42%","350","35","132","404","1596180"
"18  Fatehabad","","1","13","20116","19605","97.46%","498","19","43","49","1196759"
"19  Kaithal","","8","67","14378","13940 [7] ↑","96.95%","371","15","288","386","1794344"
"20  Palwal","","0","8","13531","13353","98.68%","170","49","164","280","1545590"
"","21  Charkhi Dadri","0","2","7485","7338","98.04%","145","4","18","299","912784"
"22  Nuh","","0","2","6132","5991","97.70%","139","4","6","52","1223248"
"HARYANA","","412","2532","1016880","","1003701 [366] ↑  98.70%","10624","1145","5800","12295","44059113"
