TT|2022-03-04 07:55:10.516902|GetSource|ERR|File Not Found
TT|2022-03-04 09:55:10.094155|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-03-04 09:55:43.007315|ExtractFromHTML|OK|COMPLETED
TT|2022-03-04 11:55:10.097868|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-03-04 11:55:24.328251|ExtractFromHTML|OK|COMPLETED
TT|2022-03-04 19:55:09.941810|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-03-04 19:55:46.931547|ExtractFromHTML|OK|COMPLETED
TT|2022-03-04 20:55:10.541673|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-03-04 20:55:27.356455|ExtractFromHTML|OK|COMPLETED
TT|2022-03-04 21:55:11.609783|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-03-04 21:55:28.462465|ExtractFromHTML|OK|COMPLETED
TT|2022-03-04 22:26:15.663808|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-03-04 22:26:32.781126|ExtractFromHTML|OK|COMPLETED
TT|2022-03-04 22:28:58.076289|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-03-04 22:29:13.989464|ExtractFromHTML|OK|COMPLETED
TT|2022-03-04 22:55:10.815596|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-03-04 22:55:33.707329|ExtractFromHTML|OK|COMPLETED
TT|2022-03-04 23:55:10.787982|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-03-04 23:55:28.778770|ExtractFromHTML|OK|COMPLETED
TT|2022-03-05 07:55:11.656840|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
