"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","150","1062136","0","19566"
"2","Thane","11","118084","0","2289"
"3","TMC","4","189873","0","2163"
"4","Navi Mumbai","8","167021","0","2090"
"5","KDMC","1","176217","0","2973"
"6","Ulhasnagar MC","0","26525","0","680"
"7","Bhivandi Nijampur MC","0","13150","0","496"
"8","Mira Bhayandar MC","0","76671","0","1227"
"9","Palghar","0","64676","0","1244"
"10","Vasai Virar MC","0","98989","0","2163"
"11","Raigad","3","138340","0","3463"
"12","Panvel MC","3","106146","0","1482"
"","Mumbai circle total","180","2237828","0","39836"
"13","Nashik","0","183758","0","3813"
"14","Nashik MC","0","278115","0","4752"
