"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","290","1120914","1","19635"
"2","Thane","18","120012","0","2289"
"3","TMC","42","198762","0","2173"
"4","Navi Mumbai","69","175982","0","2093"
"5","KDMC","23","178824","0","2977"
"6","Ulhasnagar MC","8","26954","1","685"
"7","Bhivandi Nijampur MC","0","13299","0","496"
"8","Mira Bhayandar MC","13","78849","0","1230"
"9","Palghar","10","65313","0","1244"
"10","Vasai Virar MC","11","101496","0","2173"
"11","Raigad","43","142205","0","3472"
"12","Panvel MC","19","109819","0","1483"
"","Mumbai circle total","546","2332429","2","39950"
"13","Nashik","10","184724","0","3816"
"14","Nashik MC","80","279553","0","4754"
