"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,70,661"
"2","Number of persons tested positive today in Tamil Nadu","26,949"
"","Passengers returned from other countries  by 
International airport tested positive today","Kuwait - 3 
UAE - 1"
"","Passengers returned from other states/Countries by 
Road tested positive today","Bangladesh - 7 
West Bengal - 5 
Kerala - 4 
Karnataka - 3 
Manipur - 2 
Jharkhand - 2 
Andhra Pradesh - 2 
Mizoram - 1 
Assam - 1 
Chandigarh - 1"
"","Total","26,981"
"3","Total Number of persons tested positive till date","30,14,235"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,50,635/ 
5,99,80,920@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,44,816/ 
5,90,07,082"
"6","No. of Male / Female / Transgender tested positive today","15,477/11,504/0"
"7","No. of Male / Female / Transgender tested positive till date","17,60,772/12,53,425/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","325 (69 Govt+ 
256 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","17,456/ 
28,06,501"
"10","Total number of deaths today/ till date","35(23 Private &  
12 Govt) /37,073"
