"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","456","110232","317","107806","9","2288","138"
"2","SAS Nagar","837","96526","619","95152","3","1151","223"
"3","Jalandhar","234","78504","177","76877","1","1579","48"
"4","Patiala","338","62369","273","60845","0","1457","67"
"5","Amritsar","147","59544","112","57820","1","1683","41"
"6","Bathinda","121","50989","70","49848","0","1088","53"
"7","Hoshiarpur","93","40933","87","39819","0","1096","18"
"8","Gurdaspur","42","26981","31","26104","1","865","12"
"9","Pathankot","82","24611","71","24104","0","495","12"
"10","Fazilka","54","23451","51","22890","0","545","16"
"11","Muktsar","20","22574","18","22028","0","539","7"
"12","Kapurthala","58","22093","51","21503","1","583","7"
"13","Ropar","61","17999","45","17528","0","455","16"
"14","Ferozepur","35","17934","24","17384","0","537","13"
"15","Mansa","15","17243","6","16842","1","393","8"
"16","Faridkot","75","16858","48","16489","0","338","31"
"17","Sangrur","14","14323","7","13580","0","735","8"
"18","SBS Nagar","29","13431","31","13019","0","409","3"
"19","FG Sahib","56","11890","34","11514","0","354","22"
"20","Moga","16","11004","12","10743","1","255","6"
"21","Tarn Taran","15","10912","12","10517","0","394","1"
"22","Barnala","9","7506","13","7156","0","349","1"
"23","Malerkotla","9","3977","9","3800","0","176","1"
"","Total","2816","761884","2118","743368","18","17764","752"
