,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,Column 20
0,2022-02-14,DL,Central Delhi,,,,,,,,2022-02-15 12:39:00.600243,,,,1851906,26076,1822414,35669739,
1,2022-02-14,DL,East Delhi,,,,,,,,2022-02-15 12:39:00.600243,,,,1851906,26076,1822414,35669739,
2,2022-02-14,DL,New Delhi,,,,,,,,2022-02-15 12:39:00.600243,,,,1851906,26076,1822414,35669739,
3,2022-02-14,DL,North Delhi,,,,,,,,2022-02-15 12:39:00.600243,,,,1851906,26076,1822414,35669739,
4,2022-02-14,DL,North East Delhi,,,,,,,,2022-02-15 12:39:00.600243,,,,1851906,26076,1822414,35669739,
5,2022-02-14,DL,North West Delhi,,,,,,,,2022-02-15 12:39:00.600243,,,,1851906,26076,1822414,35669739,
6,2022-02-14,DL,Shahdara,,,,,,,,2022-02-15 12:39:00.600243,,,,1851906,26076,1822414,35669739,
7,2022-02-14,DL,South Delhi,,,,,,,,2022-02-15 12:39:00.600243,,,,1851906,26076,1822414,35669739,
8,2022-02-14,DL,South East Delhi,,,,,,,,2022-02-15 12:39:00.600243,,,,1851906,26076,1822414,35669739,
9,2022-02-14,DL,South West Delhi,,,,,,,,2022-02-15 12:39:00.600243,,,,1851906,26076,1822414,35669739,
10,2022-02-14,DL,West Delhi,,,,,,,,2022-02-15 12:39:00.600243,,,,1851906,26076,1822414,35669739,
11,2022-02-14,DL,Unknown,,,,1851906,26076,1822414,,2022-02-15 12:39:00.600243,,,,1851906,26076,1822414,356697392
,
