"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 21-08-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"","1  Gurugram","349","1841","296768","293912[252]","99.04","1015","20","95","1338","5643203"
"2","Faridabad","53","449","134975","133785[113]","99.12","741","54","111","536","4157015"
"3","Hisar","17","96","63541","62267[17]","97.99","1178","8","8","47","2413807"
"4","Sonipat","3","91","59390","59023[10]","99.38","276","15","47","154","2343117"
"5","Karnal","3","62","49759","49098[20]","98.67","599","19","44","156","2448743"
"6","Panchkula","46","177","47937","47341[19]","98.76","419","2","7","60","1171457"
"7","Ambala","23","153","42590","41895[30]","98.37","542","0","8","133","2196809"
"8","Panipat","16","63","36631","35892[16]","97.98","676","12","36","81","2115715"
"9","Sirsa","17","40","34043","33460[3]","98.29","543","6","23","51","1976775"
"10  Rohtak","","11","121","32964","32289[20]","97.95","537","0","323","28","1799431"
"","11  Yamunanagar","9","84","32350","31808[13]","98.32","458[1]","1","0","4","2022113"
"","12  Kurukshetra","13","44","27701","27254[3]","98.39","403","0","2","49","1613143"
"13  Bhiwani","","12","72","27037","26299[10]","97.27","666","7","292","98","1870372"
"14","Jind","6","64","25283","24677[24]","97.60","542","7","69","151","1767721"
"","15  Mahendragarh","0","33","24975","24777","99.21","165","1","8","8","1434962"
"16  Rewari","","0","5","24868","24639[4]","99.08","224","1","4","40","1617184"
"17","Jhajjar","7","84","23988","23546[9]","98.16","352","10","42","76","1623687"
"18  Fatehabad","","0","17","20247","19731","97.45","499","3","1","10","1208721"
"19  Kaithal","","10","75","15102","14654[26]","97.03","373","2","2","55","1863541"
"20  Palwal","","0","24","13618","13423[3]","98.57","171","13","27","109","1568637"
"21","Charkhi Dadri","0","87","7868","7635[2]","97.04","146[1]","0","0","25","942005"
"22  Nuh","","0","3","6154","6012","97.69","139","0","1","1","1226565"
"Haryana","","595","3685","1047789","1033417[594]      98.63","","10664[2]","181","1150","3210","45024723"
