"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","0","0","2066","18","6","1"
"East Jaintia Hills","1","3","0","2644","39","11","0"
"East Khasi Hills","16","28","0","47576","1076","106","25"
"Eastern West Khasi Hills","0","0","0","151","8","6","0"
"North Garo Hills","2","0","0","1907","9","15","0"
"Ri-Bhoi","0","6","0","10480","101","33","4"
"South Garo Hills","0","0","0","1386","13","31","5"
"South West Garo Hills","1","3","0","2176","21","44","0"
"South West Khasi Hills","0","0","0","2701","20","0","0"
"West Garo Hills","32","14","0","11444","83","439","9"
"West Jaintia Hills","3","0","0","7243","139","29","2"
"West Khasi Hills","0","1","0","5667","78","4","0"
"Total","55","55","0","95441","1605","724","46"
